SiteName,MonitorDate,Concentration,ItemUnit
馬公,2018-08-03,7,μg/m3
金門,2018-08-03,18,μg/m3
馬祖,2018-08-03,15,μg/m3
宜蘭,2018-08-03,16,μg/m3
陽明,2018-08-03,9,μg/m3
花蓮,2018-08-03,13,μg/m3
臺東,2018-08-03,15,μg/m3
恆春,2018-08-03,8,μg/m3
屏東,2018-08-03,9,μg/m3
前金,2018-08-03,10,μg/m3
林園,2018-08-03,10,μg/m3
美濃,2018-08-03,8,μg/m3
臺南,2018-08-03,9,μg/m3
新營,2018-08-03,8,μg/m3
嘉義,2018-08-03,8,μg/m3
朴子,2018-08-03,9,μg/m3
斗六,2018-08-03,8,μg/m3
南投,2018-08-03,8,μg/m3
彰化,2018-08-03,9,μg/m3
忠明,2018-08-03,9,μg/m3
豐原,2018-08-03,8,μg/m3
三義,2018-08-03,7,μg/m3
苗栗,2018-08-03,8,μg/m3
新竹,2018-08-03,11,μg/m3
竹東,2018-08-03,11,μg/m3
平鎮,2018-08-03,11,μg/m3
桃園,2018-08-03,12,μg/m3
萬華,2018-08-03,14,μg/m3
士林,2018-08-03,11,μg/m3
板橋,2018-08-03,12,μg/m3
汐止,2018-08-03,16,μg/m3
基隆,2018-08-03,14,μg/m3
馬公,2018-07-31,10,μg/m3
金門,2018-07-31,,μg/m3
馬祖,2018-07-31,20,μg/m3
宜蘭,2018-07-31,18,μg/m3
陽明,2018-07-31,13,μg/m3
花蓮,2018-07-31,12,μg/m3
臺東,2018-07-31,,μg/m3
恆春,2018-07-31,9,μg/m3
屏東,2018-07-31,12,μg/m3
前金,2018-07-31,9,μg/m3
林園,2018-07-31,11,μg/m3
美濃,2018-07-31,11,μg/m3
臺南,2018-07-31,10,μg/m3
新營,2018-07-31,11,μg/m3
嘉義,2018-07-31,11,μg/m3
朴子,2018-07-31,12,μg/m3
斗六,2018-07-31,13,μg/m3
南投,2018-07-31,14,μg/m3
彰化,2018-07-31,14,μg/m3
忠明,2018-07-31,14,μg/m3
豐原,2018-07-31,16,μg/m3
三義,2018-07-31,15,μg/m3
苗栗,2018-07-31,14,μg/m3
新竹,2018-07-31,14,μg/m3
竹東,2018-07-31,16,μg/m3
平鎮,2018-07-31,13,μg/m3
桃園,2018-07-31,16,μg/m3
萬華,2018-07-31,18,μg/m3
士林,2018-07-31,16,μg/m3
板橋,2018-07-31,18,μg/m3
汐止,2018-07-31,16,μg/m3
基隆,2018-07-31,19,μg/m3
馬公,2018-07-28,6,μg/m3
金門,2018-07-28,19,μg/m3
馬祖,2018-07-28,20,μg/m3
宜蘭,2018-07-28,20,μg/m3
陽明,2018-07-28,15,μg/m3
花蓮,2018-07-28,12,μg/m3
臺東,2018-07-28,7,μg/m3
恆春,2018-07-28,8,μg/m3
屏東,2018-07-28,12,μg/m3
前金,2018-07-28,11,μg/m3
林園,2018-07-28,13,μg/m3
美濃,2018-07-28,9,μg/m3
臺南,2018-07-28,10,μg/m3
新營,2018-07-28,9,μg/m3
嘉義,2018-07-28,10,μg/m3
朴子,2018-07-28,10,μg/m3
斗六,2018-07-28,13,μg/m3
南投,2018-07-28,13,μg/m3
彰化,2018-07-28,12,μg/m3
忠明,2018-07-28,11,μg/m3
豐原,2018-07-28,15,μg/m3
三義,2018-07-28,13,μg/m3
苗栗,2018-07-28,13,μg/m3
新竹,2018-07-28,15,μg/m3
竹東,2018-07-28,17,μg/m3
平鎮,2018-07-28,15,μg/m3
桃園,2018-07-28,17,μg/m3
萬華,2018-07-28,20,μg/m3
士林,2018-07-28,20,μg/m3
板橋,2018-07-28,20,μg/m3
汐止,2018-07-28,20,μg/m3
基隆,2018-07-28,18,μg/m3
馬公,2018-07-25,,μg/m3
金門,2018-07-25,13,μg/m3
馬祖,2018-07-25,15,μg/m3
宜蘭,2018-07-25,11,μg/m3
陽明,2018-07-25,11,μg/m3
花蓮,2018-07-25,11,μg/m3
臺東,2018-07-25,10,μg/m3
恆春,2018-07-25,9,μg/m3
屏東,2018-07-25,10,μg/m3
前金,2018-07-25,12,μg/m3
林園,2018-07-25,11,μg/m3
美濃,2018-07-25,6,μg/m3
臺南,2018-07-25,11,μg/m3
新營,2018-07-25,11,μg/m3
嘉義,2018-07-25,10,μg/m3
朴子,2018-07-25,12,μg/m3
斗六,2018-07-25,10,μg/m3
南投,2018-07-25,11,μg/m3
彰化,2018-07-25,13,μg/m3
忠明,2018-07-25,14,μg/m3
豐原,2018-07-25,11,μg/m3
三義,2018-07-25,11,μg/m3
苗栗,2018-07-25,14,μg/m3
新竹,2018-07-25,16,μg/m3
竹東,2018-07-25,16,μg/m3
平鎮,2018-07-25,20,μg/m3
桃園,2018-07-25,18,μg/m3
萬華,2018-07-25,16,μg/m3
士林,2018-07-25,16,μg/m3
板橋,2018-07-25,18,μg/m3
汐止,2018-07-25,17,μg/m3
基隆,2018-07-25,15,μg/m3
馬公,2018-07-22,15,μg/m3
金門,2018-07-22,18,μg/m3
馬祖,2018-07-22,20,μg/m3
宜蘭,2018-07-22,7,μg/m3
陽明,2018-07-22,7,μg/m3
花蓮,2018-07-22,6,μg/m3
臺東,2018-07-22,7,μg/m3
恆春,2018-07-22,11,μg/m3
屏東,2018-07-22,13,μg/m3
前金,2018-07-22,14,μg/m3
林園,2018-07-22,13,μg/m3
美濃,2018-07-22,11,μg/m3
臺南,2018-07-22,12,μg/m3
新營,2018-07-22,11,μg/m3
嘉義,2018-07-22,15,μg/m3
