"lineid","car","time","location","longitude","latitude","cityid","cityname"
"234046","148-BY","2018/11/02 19:19:18","新北市永和區永元路6號","121.521978333333","25.0000266666667","6500400","永和區"
"234007","207-UY","2018/11/02 19:19:17","新北市永和區永貞路375號","121.50824","25.0082233333333","6500400","永和區"
"234081","298-R6","2018/11/02 19:19:20","新北市永和區福和路52號","121.523411666667","25.0081233333333","6500400","永和區"
"234038","336-UY","2018/11/02 19:19:06","新北市永和區民樂街55巷2號","121.527436666667","24.9984533333333","6500400","永和區"
"234064","337-UY","2018/11/02 19:19:18","新北市永和區永元路17巷6弄2號","121.521365","25.00071","6500400","永和區"
"234086","338-UY","2018/11/02 19:19:06","新北市永和區永利路4巷26號","121.51756","25.0047466666667","6500400","永和區"
"234070","552-UM","2018/11/02 19:19:20","新北市永和區中正路696-1號","121.516503333333","25.0098283333333","6500400","永和區"
"234017","745-BX","2018/11/02 19:19:04","新北市永和區環河西路一段95巷19弄1號","121.511618333333","25.0172433333333","6500400","永和區"
"234030","746-BX","2018/11/02 19:19:17","新北市永和區厚德街84號","121.523648333333","24.9988933333333","6500400","永和區"
"234054","KEA-2590","2018/11/02 19:19:05","新北市永和區中興街43號","121.516371666667","25.0117683333333","6500400","永和區"
"234013","KEA-2591","2018/11/02 19:19:18","新北市永和區信義路39號","121.513313333333","25.0123483333333","6500400","永和區"
"234061","AAD-866","2018/11/02 19:19:24","新北市永和區秀朗路一段175號","121.517028333333","25.00365","6500400","永和區"
"234042","862-TW","2018/11/02 19:19:06","新北市永和區保平路151巷3號","121.510111666667","25.0055883333333","6500400","永和區"
"234050","863-TW","2018/11/02 19:19:22","新北市永和區保福路二段78號","121.51055","25.0133316666667","6500400","永和區"
"234011","9372-KE","2018/11/02 19:19:16","新北市永和區忠孝街34巷18號","121.514491666667","25.016815","6500400","永和區"
"234026","9371-KE","2018/11/02 19:19:08","新北市永和區安樂路144巷31號","121.515185","24.9996966666667","6500400","永和區"
"249001","173-UM","2018/11/02 19:19:17","新北市八里區中山路一段217巷38號","121.411306666667","25.1560133333333","6502300","八里區"
"249003","593-UM","2018/11/02 19:19:09","新北市八里區中山路二段466巷6號","121.398876666667","25.1473983333333","6502300","八里區"
"248016","026-BX","2018/11/02 19:19:06","新北市五股區成洲五路12號","121.452316666667","25.1015383333333","6501500","五股區"
"248008","095-VK","2018/11/02 19:19:26","新北市五股區中興路二段83巷26-6號","121.460123333333","25.0752833333333","6501500","五股區"
"248018","225-UY","2018/11/02 19:18:47","新北市五股區壟路16-1號","121.414638333333","25.0853733333333","6501500","五股區"
"248012","247-BX","2018/11/02 19:19:11","新北市五股區中興路四段48巷16號","121.438596666667","25.08344","6501500","五股區"
"248010","272-BY","2018/11/02 19:19:16","新北市五股區水碓二路1號","121.43061","25.071265","6501500","五股區"
"248004","653-BX","2018/11/02 19:19:20","新北市五股區五福路121號","121.43191","25.09105","6501500","五股區"
"248002","678-BX","2018/11/02 19:19:21","新北市五股區凌雲路一段158巷14-1號","121.447898333333","25.1035183333333","6501500","五股區"
"234023","9380-KE","2018/11/02 19:19:13","新北市永和區竹林路91巷16號","121.52028","25.0122733333333","6500400","永和區"
"234077","969-R7","2018/11/02 19:19:19","新北市永和區民族街44號","121.518386666667","24.9987633333333","6500400","永和區"
"234074","AAC-211","2018/11/02 19:19:23","新北市永和區竹林路100-1號","121.519673333333","25.0119933333333","6500400","永和區"
