"lineid","car","time","location","longitude","latitude","cityid","cityname"
"231029","001-UM","2018/02/20 15:29:51","新北市新店區安康路三段517號","121.4819","24.9484966666667","6500600","新店區"
"231002","002-UM","2018/02/20 15:29:45","新北市新店區環河路150-8號","121.534445","24.9678816666667","6500600","新店區"
"231028","046-UY","2018/02/20 15:29:48","新北市新店區僑信路19號","121.49965","24.9519566666667","6500600","新店區"
"231030","047-UY","2018/02/20 15:29:51","新北市新店區新和街72號","121.520193333333","24.985655","6500600","新店區"
"231018","107-UY","2018/02/20 15:29:51","新北市新店區中央八街106號","121.526136666667","24.97787","6500600","新店區"
"231012","108-UY","2018/02/20 15:29:39","新北市新店區寶慶街2-1號","121.54384","24.9869266666667","6500600","新店區"
"231020","187-VK","2018/02/20 15:29:47","新北市新店區桃李一路3號","121.55346","24.9324183333333","6500600","新店區"
"231026","256-BX","2018/02/20 15:29:41","新北市新店區三民路117巷5弄2號","121.534253333333","24.9712316666667","6500600","新店區"
"231023","AAD-862","2018/02/20 15:29:37","新北市新店區北新路一段96巷23號","121.542865","24.9687083333333","6500600","新店區"
"231025","3713-VJ","2018/02/20 15:29:34","新北市新店區安民街133巷26號","121.515486666667","24.9695616666667","6500600","新店區"
"231036","512-UM","2018/02/20 15:29:53","新北市新店區安祥路102巷25號","121.485118333333","24.96451","6500600","新店區"
"231035","515-UM","2018/02/20 15:29:51","新北市新店區安興路83-3號","121.515355","24.9754583333333","6500600","新店區"
"231003","641-BX","2018/02/20 15:29:38","新北市新店區寶高路120巷1-1號","121.554641666667","24.9759666666667","6500600","新店區"
"231034","645-TV","2018/02/20 15:29:47","新北市新店區富貴街11巷1號","121.494105","24.9490533333333","6500600","新店區"
"231039","718-UY","2018/02/20 15:29:42","新北市新店區寶元路一段85巷2號","121.543076666667","24.9855333333333","6500600","新店區"
"231032","720-UM","2018/02/20 15:29:39","新北市新店區裕合街104號","121.490361666667","24.9488983333333","6500600","新店區"
"231005","897-TW","2018/02/20 15:29:35","新北市新店區建國路293巷1號","121.536696666667","24.9862016666667","6500600","新店區"
"231006","898-TW","2018/02/20 15:29:42","新北市新店區安華路1-1號","121.519323333333","24.96052","6500600","新店區"
