"lineid","car","time","location","longitude","latitude","cityid","cityname"
"231009","192-VK","2018/01/26 12:09:29","新北市新店區屈尺路199號","121.541773333333","24.921145","6500600","新店區"
"235029","098-UM","2018/01/26 12:08:55","新北市中和區員山路36巷16-3號","121.485086666667","24.9912016666667","6500300","中和區"
"227005","282-VK","2018/01/26 12:09:13","新北市雙溪區三貂里政光路3-1號","121.850783333333","25.0633833333333","6502500","雙溪區"
"220011","609-BX","2018/01/26 12:09:25","新北市板橋區南雅南路一段112號","121.454956666667","25.0040733333333","6500100","板橋區"
