"lineid","car","time","location","longitude","latitude","cityid","cityname"
"234044","148-BY","2018/08/06 13:09:36","新北市永和區秀朗路二段165號","121.525295","25.00154","6500400","永和區"
"234005","207-UY","2018/08/06 13:09:49","新北市永和區中山路一段147號","121.51018","25.0095783333333","6500400","永和區"
"234078","298-R6","2018/08/06 13:09:36","新北市永和區福和路57巷14弄1號","121.522696666667","25.0069066666667","6500400","永和區"
"234062","337-UY","2018/08/06 13:09:45","新北市永和區秀朗路二段46號","121.521416666667","25.00237","6500400","永和區"
"234084","338-UY","2018/08/06 13:09:39","新北市永和區永貞路96號","121.519263333333","25.0045083333333","6500400","永和區"
"234068","552-UM","2018/08/06 13:09:48","新北市永和區豫溪街137巷1弄24號","121.518451666667","25.01041","6500400","永和區"
"234036","553-UM","2018/08/06 13:09:43","新北市永和區民樂街71巷1號","121.52737","24.9975216666667","6500400","永和區"
"234015","745-BX","2018/08/06 13:09:48","新北市永和區文化路90巷19號","121.513531666667","25.0162983333333","6500400","永和區"
"234028","746-BX","2018/08/06 13:09:51","新北市永和區四維街91號","121.524448333333","24.998135","6500400","永和區"
"234052","KEA-2590","2018/08/06 13:09:49","新北市永和區竹林路72巷2號","121.519251666667","25.012965","6500400","永和區"
"234012","KEA-2591","2018/08/06 13:09:53","新北市永和區保福路二段14-1號","121.510948333333","25.0112233333333","6500400","永和區"
"234060","AAD-866","2018/08/06 13:09:53","新北市永和區安樂路304巷7號","121.514468333333","25.0050483333333","6500400","永和區"
"234040","862-TW","2018/08/06 13:09:52","新北市永和區保平路93巷2弄1號","121.511643333333","25.0066883333333","6500400","永和區"
"234048","863-TW","2018/08/06 13:09:45","新北市永和區保福路二段94巷19號","121.51095","25.0140133333333","6500400","永和區"
"234025","9371-KE","2018/08/06 13:09:53","新北市永和區永和路一段72巷4號","121.513435","25.006125","6500400","永和區"
"234010","9373-KE","2018/08/06 13:09:45","新北市永和區永和路二段231巷19號","121.514705","25.013895","6500400","永和區"
"248015","026-BX","2018/08/06 13:09:51","新北市五股區成泰路三段221巷11號","121.44572","25.0933716666667","6501500","五股區"
"248005","077-UY","2018/08/06 13:09:37","新北市五股區中興路二段61號","121.461441666667","25.0768833333333","6501500","五股區"
"248007","095-VK","2018/08/06 13:09:49","新北市蘆洲區永安南路二段294號","121.457223333333","25.0817983333333","6501500","五股區"
"248019","225-UY","2018/08/06 13:09:49","新北市五股區成泰路三段544-1號","121.454691666667","25.1024616666667","6501500","五股區"
"248011","247-BX","2018/08/06 13:09:50","新北市五股區芳洲路59號","121.44189","25.0840666666667","6501500","五股區"
"248013","261-SL","2018/08/06 13:09:56","新北市五股區成泰路一段189巷19號","121.43376","25.0764333333333","6501500","五股區"
"248003","677-BX","2018/08/06 13:09:46","新北市五股區中興路四段56號","121.437833333333","25.0831933333333","6501500","五股區"
"248001","678-BX","2018/08/06 13:09:41","新北市五股區芳洲路49號","121.441818333333","25.083925","6501500","五股區"
"248009","682-TV","2018/08/06 13:09:47","新北市五股區新五路二段123號","121.43841","25.0790683333333","6501500","五股區"
"234022","9380-KE","2018/08/06 13:09:38","新北市永和區中興街10巷25號","121.516163333333","25.0111","6500400","永和區"
"234076","969-R7","2018/08/06 13:09:57","新北市永和區中正路160號","121.515075","24.9964666666667","6500400","永和區"
"234072","AAC-211","2018/08/06 13:09:53","新北市永和區竹林路217號","121.520631666667","25.008655","6500400","永和區"
"234066","AAC-212","2018/08/06 13:09:48","新北市永和區保平路2-1號","121.513126666667","25.007675","6500400","永和區"
"234001","AAC-295","2018/08/06 13:09:48","新北市永和區和平街2號","121.514196666667","25.009875","6500400","永和區"
"244001","248-BX","2018/08/06 13:09:38","新北市林口區嘉寶里69號","121.335108333333","25.1145483333333","6501700","林口區"
"243005","AAD-798","2018/08/06 13:09:50","新北市泰山區南林路99巷1-1號","121.415448333333","25.0511416666667","6501600","泰山區"
"231002","002-UM","2018/08/06 13:09:37","新北市新店區安華路28-1號","121.5196","24.96082","6500600","新店區"
"231027","0293-UT","2018/08/06 13:09:48","新北市新店區安華路28-1號","121.51967","24.96061","6500600","新店區"
