"ID","AVAILABLECAR"
"050101","-9"
"050102","-9"
"050108","-9"
"050109","-9"
"050111","-9"
"050112","-9"
"050115","-9"
"050117","-9"
"050119","-9"
"050124","-9"
"050125","-9"
"050126","423"
"050127","-9"
"050128","-9"
"050129","-9"
"050131","-9"
"050132","-9"
"050133","-9"
"050134","-9"
"050135","-9"
"050136","-9"
"050137","-9"
"050138","-9"
"050139","-9"
"050140","-9"
"050141","-9"
"050142","-9"
"050143","-9"
"050144","-9"
"050146","-9"
"050147","-9"
"050148","-9"
"050149","-9"
"050150","-9"
"050152","-9"
"050153","-9"
"050154","-9"
"050155","-9"
"060001","46"
"060002","46"
"060003","7"
"060005","147"
"060006","39"
"060007","37"
"060008","0"
"060010","66"
"060011","6"
"060012","28"
"060014","-9"
"060015","-9"
"060016","1"
"060017","147"
"060018","26"
"060020","49"
"060021","-9"
"060022","-9"
"060026","-9"
"060029","193"
"060030","-9"
"060031","-9"
"060032","-9"
"060033","-9"
"060035","-9"
"060038","-9"
"060039","-9"
"060040","-9"
"060047","-9"
"060048","54"
"060049","-9"
"060051","-9"
"060052","-9"
"060053","-9"
"060054","-9"
"060055","-9"
"060056","-9"
"060057","-9"
"060058","-9"
"060060","-9"
"060061","-9"
"060062","-9"
"060063","-9"
"060067","-9"
"060068","-9"
"060069","-9"
"060070","-9"
"060071","-9"
"060072","-9"
"060073","-9"
"060075","-9"
"060076","-9"
"060077","-9"
"060078","21"
"060081","-9"
"060082","72"
"060083","-9"
"060084","-9"
"060085","-9"
"060086","44"
"060087","5"
"060088","4"
"060089","-9"
"060091","-9"
"060092","-9"
"060093","-9"
"060095","-9"
"060096","-9"
"060097","-9"
"060098","-9"
"060099","-9"
"060100","-9"
"060102","-9"
"060103","-9"
"070001","22"
"070002","6"
"070003","62"
"070004","11"
"070006","0"
"070008","-9"
"070010","-9"
"070011","-9"
"070012","15"
"070013","5"
"070015","32"
"070016","-9"
"070017","-9"
"070027","-9"
"070028","-9"
"070029","26"
"070033","-9"
"070035","-9"
"070036","-9"
"070037","-9"
"070038","0"
"070039","-9"
"070040","-9"
"070041","-9"
"070042","-9"
"070043","-9"
"070044","-9"
"070045","-9"
"070046","-9"
"070047","-9"
"080001","37"
"080004","-9"
"080007","-9"
"080008","68"
"080011","-9"
"080023","-9"
"080025","53"
"080026","-9"
"080027","-9"
"080028","-9"
"080030","-9"
"080031","-9"
"090001","-9"
"090001","-9"
"090003","47"
"090007","-9"
"090008","26"
"090009","-9"
"090012","280"
"090013","-9"
"090016","20"
"090017","9"
"090019","98"
"090021","-9"
"090022","-9"
"090025","0"
"090029","176"
"090030","-9"
"090031","-9"
"090032","-9"
"090033","-9"
"090034","-9"
"090035","-9"
"090036","-9"
"090037","-9"
"090039","-9"
"090041","-9"
"100002","39"
"100003","-9"
"100004","63"
"100006","-9"
"100008","11"
"100009","-9"
"100010","-9"
"100013","-9"
"100014","-9"
"100015","-9"
"100016","-9"
"100017","-9"
"100018","-9"
"100021","-9"
"100022","-9"
"100025","-9"
"100026","-9"
"100028","-9"
"100029","-9"
"100030","-9"
"100031","-9"
"100032","225"
"100033","-9"
"100034","-9"
"100035","-9"
"100036","-9"
"100039","-9"
"100041","-9"
"100042","-9"
"100043","-9"
"100045","-9"
"100045","-9"
"100046","-9"
"100047","-9"
"100048","-9"
"110001","91"
"110006","0"
"110008","-9"
"110009","-9"
"110010","-9"
"110011","-9"
"110013","-9"
"110014","-9"
"110015","-9"
"110018","-9"
"110026","-9"
"110027","-9"
"110029","-9"
"110033","-9"
"110034","-9"
"110035","-9"
"110036","-9"
"110039","-9"
"110040","-9"
"110040","-9"
"110044","-9"
"110045","-9"
"110046","-9"
"110050","-9"
"110052","762"
"110053","-9"
"110054","-9"
"110055","-9"
"110057","-9"
"110059","-9"
"110060","-9"
"110062","0"
"110063","-9"
"110064","-9"
"110069","-9"
"110070","-9"
"110071","-9"
"110072","27"
"120002","113"
"120005","-9"
"120006","-9"
"120010","-9"
"120012","24"
"120014","58"
"120015","-9"
"130003","2"
"130004","28"
"130005","32"
"130006","86"
"130008","37"
"130009","15"
"130010","110"
"130011","13"
"130014","-9"
"130016","113"
"130017","-9"
"130018","24"
"130019","-9"
"130022","-9"
"130024","-9"
"130027","-9"
"130028","-9"
"130036","-9"
"130042","-9"
"130046","-9"
"130048","18"
"130049","-9"
"130051","14"
"130052","-9"
"130053","-9"
"130054","-9"
"130055","-9"
"130056","97"
"130059","726"
"130061","-9"
"130063","-9"
"130064","-9"
"130065","-9"
"130067","-9"
"130068","-9"
"130069","-9"
"130070","-9"
"130071","52"
"130072","25"
"130073","-9"
"130074","-9"
"130075","437"
"130076","-9"
"140002","55"
"140003","74"
"140004","44"
"140006","-9"
"140007","32"
"140010","2"
"140011","-9"
"140012","-9"
"140013","4"
"140014","-9"
"140015","-9"
"140021","83"
"140022","-9"
"140023","-9"
"140024","-9"
"140025","-9"
"140026","-9"
"140027","-9"
"140028","-9"
"140029","-9"
"140031","38"
"140033","-9"
"140034","-9"
"140035","-9"
"140037","-9"
"140038","-9"
"140039","-9"
"140040","-9"
"140041","21"
"140042","-9"
"140043","-9"
"150002","-9"
"150004","-9"
"150009","-9"
"150010","43"
"150011","22"
"150015","-9"
"150016","-9"
"150017","-9"
"150018","-9"
"150019","-9"
"150020","-9"
"150021","-9"
"150022","-9"
"150023","-9"
"150024","-9"
"150025","-9"
"150026","-9"
"150027","-9"
"150028","-9"
"150029","-9"
