"lineid","car","time","location","longitude","latitude","cityid","cityname"
"248005","653-BX","2018/10/27 07:57:39","新北市五股區明德路12巷3號","121.43321","25.0717166666667","6501500","五股區"
"232004","290-BY","2018/10/27 07:57:24","新北市坪林區下坑子口6-15號","121.71119","24.943355","6502000","坪林區"
"244005","248-BX","2018/10/27 07:57:44","新北市林口區下福里20鄰2號","121.317835","25.1083966666667","6501700","林口區"
"222004","289-BY","2018/10/27 07:57:25","新北市深坑區昇高坑路51-1號","121.629496666667","24.9949283333333","6501800","深坑區"
"231007","189-VK","2018/10/27 07:57:25","新北市新店區安康路一段323-3號","121.521115","24.9638466666667","6500600","新店區"
"231008","192-VK","2018/10/27 07:57:29","新北市新店區光明街191號","121.539956666667","24.9634083333333","6500600","新店區"
"235001","611-BX","2018/10/27 07:57:37","新北市中和區圓通路367巷6號","121.491416666667","24.989225","6500300","中和區"
"226005","5620-A6","2018/10/27 07:57:36","新北市平溪區石底里公園街18-3號","121.733253333333","25.0257833333333","6502400","平溪區"
"226007","7418-A5","2018/10/27 07:57:33","新北市平溪區南山里乾坑11號","121.782696666667","25.0471883333333","6502400","平溪區"
"226003","8452-VL","2018/10/27 07:57:46","新北市平溪區新寮里頂寮子4號","121.773723333333","25.051785","6502400","平溪區"
"223006","022-BY","2018/10/27 07:57:44","新北市石碇區北宜路五段12號","121.629488333333","24.9538283333333","6501900","石碇區"
"223002","KEA-2673","2018/10/27 07:41:22","新北市石碇區烏塗窟14-1號","121.656258333333","24.9756533333333","6501900","石碇區"
"223003","205-TH","2018/10/27 07:54:19","新北市石碇區樟空子10-2號","121.66691","24.96221","6501900","石碇區"
"223008","406-TH","2018/10/27 07:57:21","新北市石碇區靜安路一段337號","121.697806666667","25.013965","6501900","石碇區"
"223004","437-BY","2018/10/27 07:57:27","新北市石碇區外按11-5號","121.651598333333","24.9993933333333","6501900","石碇區"
"223001","592-UM","2018/10/27 07:53:59","新北市石碇區樟空子10-2號","121.666883333333","24.96192","6501900","石碇區"
"223005","677-TV","2018/10/27 07:57:47","新北市石碇區外按9-2號","121.650656666667","24.9973716666667","6501900","石碇區"
"227006","282-VK","2018/10/27 07:57:42","新北市雙溪區牡丹里中正路1-1號","121.863636666667","25.0435116666667","6502500","雙溪區"
"252004","249-BX","2018/10/27 07:57:45","新北市三芝區店子里店子72-1號","121.507663333333","25.2037516666667","6502100","三芝區"
"252007","AAC-283","2018/10/27 07:57:31","新北市三芝區後厝里土地公坑61-1號","121.463956666667","25.2469766666667","6502100","三芝區"
"237001","159-UY","2018/10/27 07:57:42","新北市三峽區大學路33號","121.377548333333","24.9400116666667","6500900","三峽區"
"238015","755-BX","2018/10/27 07:57:28","新北市樹林區八德街588號","121.39805","24.9692416666667","6500700","樹林區"
